"channel","marker"
"FSC-A",NA
"FSC-H",NA
"FSC-W",NA
"SSC-A",NA
"SSC-H",NA
"SSC-W",NA
"Alexa Fluor 488-A",NA
"PE-A",NA
"PE-Texas Red-A",NA
"7-AAD-A",NA
"PE-Cy7-A",NA
"Alexa Fluor 405-A",NA
"Alexa Fluor 430-A",NA
"Qdot 605-A",NA
"Alexa Fluor 647-A",NA
"Alexa Fluor 700-A",NA
"APC-Cy7-A",NA
"Time",NA
